"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US17031070600","Census Tract 706; Cook County; Illinois","3449",
"1400000US17031070700","Census Tract 707; Cook County; Illinois","3699",
"1400000US17031071000","Census Tract 710; Cook County; Illinois","4357",
"1400000US17031071100","Census Tract 711; Cook County; Illinois","3091",
"1400000US17031071200","Census Tract 712; Cook County; Illinois","2973",
"1400000US17031071300","Census Tract 713; Cook County; Illinois","3893",
"1400000US17031071400","Census Tract 714; Cook County; Illinois","4962",
"1400000US17031071500","Census Tract 715; Cook County; Illinois","6282",
"1400000US17031071600","Census Tract 716; Cook County; Illinois","1793",
"1400000US17031071700","Census Tract 717; Cook County; Illinois","1660",
"1400000US17031071800","Census Tract 718; Cook County; Illinois","2652",
"1400000US17031080100","Census Tract 801; Cook County; Illinois","6388",
"1400000US17031080201","Census Tract 802.01; Cook County; Illinois","3375",
"1400000US17031080202","Census Tract 802.02; Cook County; Illinois","4225",
"1400000US17031080300","Census Tract 803; Cook County; Illinois","5499",
"1400000US17031080400","Census Tract 804; Cook County; Illinois","4569",
"1400000US17031081000","Census Tract 810; Cook County; Illinois","8746",
"1400000US17031081100","Census Tract 811; Cook County; Illinois","4187",
"1400000US17031081201","Census Tract 812.01; Cook County; Illinois","5080",
"1400000US17031081202","Census Tract 812.02; Cook County; Illinois","3357",
"1400000US17031081300","Census Tract 813; Cook County; Illinois","5540",
"1400000US17031081401","Census Tract 814.01; Cook County; Illinois","2508",
"1400000US17031081402","Census Tract 814.02; Cook County; Illinois","7052",
"1400000US17031081403","Census Tract 814.03; Cook County; Illinois","9843",
"1400000US17031081500","Census Tract 815; Cook County; Illinois","5917",
"1400000US17031081600","Census Tract 816; Cook County; Illinois","4168",
"1400000US17031081700","Census Tract 817; Cook County; Illinois","5537",
"1400000US17031081800","Census Tract 818; Cook County; Illinois","11373",
"1400000US17031081900","Census Tract 819; Cook County; Illinois","1325",
"1400000US17031090100","Census Tract 901; Cook County; Illinois","3585",
"1400000US17031090200","Census Tract 902; Cook County; Illinois","6626",
"1400000US17031090300","Census Tract 903; Cook County; Illinois","1314",
"1400000US17031100100","Census Tract 1001; Cook County; Illinois","5538",
"1400000US17031100200","Census Tract 1002; Cook County; Illinois","7024",
"1400000US17031100300","Census Tract 1003; Cook County; Illinois","6252",
"1400000US17031100400","Census Tract 1004; Cook County; Illinois","3207",
"1400000US17031100500","Census Tract 1005; Cook County; Illinois","6116",
"1400000US17031100600","Census Tract 1006; Cook County; Illinois","4897",
"1400000US17031100700","Census Tract 1007; Cook County; Illinois","4967",
"1400000US17031110100","Census Tract 1101; Cook County; Illinois","5568",
"1400000US17031110200","Census Tract 1102; Cook County; Illinois","2772",
"1400000US17031110300","Census Tract 1103; Cook County; Illinois","5348",
"1400000US17031110400","Census Tract 1104; Cook County; Illinois","4522",
"1400000US17031110501","Census Tract 1105.01; Cook County; Illinois","4786",
"1400000US17031110502","Census Tract 1105.02; Cook County; Illinois","3220",
"1400000US17031120100","Census Tract 1201; Cook County; Illinois","4402",
"1400000US17031120200","Census Tract 1202; Cook County; Illinois","4748",
"1400000US17031120300","Census Tract 1203; Cook County; Illinois","6920",
"1400000US17031120400","Census Tract 1204; Cook County; Illinois","3526",
"1400000US17031130100","Census Tract 1301; Cook County; Illinois","5205",
"1400000US17031130200","Census Tract 1302; Cook County; Illinois","1403",
"1400000US17031130300","Census Tract 1303; Cook County; Illinois","5083",
"1400000US17031140100","Census Tract 1401; Cook County; Illinois","3464",
"1400000US17031140200","Census Tract 1402; Cook County; Illinois","5834",
"1400000US17031140301","Census Tract 1403.01; Cook County; Illinois","2693",
"1400000US17031140302","Census Tract 1403.02; Cook County; Illinois","4060",
"1400000US17031140400","Census Tract 1404; Cook County; Illinois","6503",
"1400000US17031140500","Census Tract 1405; Cook County; Illinois","3451",
"1400000US17031140601","Census Tract 1406.01; Cook County; Illinois","2545",
"1400000US17031140602","Census Tract 1406.02; Cook County; Illinois","5041",
"1400000US17031140701","Census Tract 1407.01; Cook County; Illinois","2784",
"1400000US17031140702","Census Tract 1407.02; Cook County; Illinois","5535",
"1400000US17031140800","Census Tract 1408; Cook County; Illinois","6486",
"1400000US17031150200","Census Tract 1502; Cook County; Illinois","7434",
"1400000US17031150300","Census Tract 1503; Cook County; Illinois","7120",
"1400000US17031150401","Census Tract 1504.01; Cook County; Illinois","4681",
"1400000US17031150402","Census Tract 1504.02; Cook County; Illinois","3831",
"1400000US17031150501","Census Tract 1505.01; Cook County; Illinois","3823",
"1400000US17031150502","Census Tract 1505.02; Cook County; Illinois","4239",
"1400000US17031150600","Census Tract 1506; Cook County; Illinois","3882",
"1400000US17031150700","Census Tract 1507; Cook County; Illinois","4429",
"1400000US17031150800","Census Tract 1508; Cook County; Illinois","4903",
"1400000US17031151001","Census Tract 1510.01; Cook County; Illinois","2833",
"1400000US17031151002","Census Tract 1510.02; Cook County; Illinois","4588",
