OBJECTID,SgmtEnd1,SgmtEnd2,Street,Owner,Manager,Miles,FacName,Sub_System,TrailType,TrailSurfa,Editor,Edtdate,Muni,TrailWdth,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Status,ShapeSTLength
38,,,Higgins Rd,IDOT,Elk Grove Village,0.16924058,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{ECFD3CF8-8F84-4AAE-A611-70FD83DF0FCC},Existing,893.590285403871
39,,,Brennan Blvd,IDOT,Elk Grove Village,0.00990069,,,Road Crossing,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{950950BA-6608-47B9-8330-FB19507E5467},Existing,52.275639310414
40,,,Higgins Rd,IDOT,Elk Grove Village,0.00618702,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{3C687506-E9DC-47BF-B0D0-AFE8FB660834},Existing,32.6674710056694
41,,,Brennan Blvd,IDOT,Elk Grove Village,0.00628168,,,Road Crossing,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{B41EAABE-085B-48B5-A3FA-0832A94B6D8B},Existing,33.167268604096
42,,,Higgins Rd,IDOT,Elk Grove Village,0.24254953,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{3D13C729-B412-42A5-BF9C-0866A054439C},Existing,1280.66153528324
43,,,na,Elk Grove Village,Elk Grove Village,0.02432391,,,Trail,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{805C78AF-0AC9-48EC-8DFD-54039E4EE8F7},Existing,128.430245038039
44,,,na,Elk Grove Village,Elk Grove Village,0.00715308,,,Trail,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{DB6A4638-2DCE-402D-BACB-29FF407005F1},Existing,37.7682389989149
45,,,na,Elk Grove Village,Elk Grove Village,0.27049107,,,Trail,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{2E820687-0D7D-4487-8C49-882471B3DDB6},Existing,1428.19284817188
46,,,na,Elk Grove Village,Elk Grove Village,0.07273233,,,Trail,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{ABFC98F0-5C73-4A9B-BB52-F890666049A7},Existing,384.026697733603
47,,,na,Elk Grove Village,Elk Grove Village,0.05273221,,,Trail,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{F2100B14-D080-4482-B246-31EBEAEA59C4},Existing,278.426087644006
48,Harvest Ln,,,Mt Prospect,Mt Prospect,0.09355511,,,Trail,Asphalt,,,Mount Prospect,8-10 ft,PETERDIRKS,2022/04/15 20:06:53+00,WINGENTE,2024/04/08 20:24:56+00,{063EADDC-427E-411E-AC09-DCDC3A03E07A},Existing,493.970955134972
49,,,,,Northbrook,0.10651601,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{D2DEC88A-742E-4C02-B61A-8117E120E25F},Existing,562.404507363912
50,Willow Road,,,Local,Local,0.20747546,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,BENETHALLER,2025/09/10 15:53:44+00,{4609DB03-7F93-414F-8929-5904774FF396},Existing,1095.47040550685
51,,,,,Northbrook,0.21825949,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{C330FAC1-3486-49F6-A1BD-B668AF5E7C41},Existing,1152.41013034957
52,,,,,Northbrook,0.02475273,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{02FB651A-7E61-4C7F-8639-BD0BE26D86D5},Existing,130.694427007357
53,,,,,Northbrook,0.13290513,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{9E37C044-0DDB-4A21-A1D9-6EC12F94B2F5},Existing,701.739107327328
54,,,,,Northbrook,0.00567268,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{C4396DD1-903C-4665-A13D-72E609E99313},Existing,29.9517484052476
55,,,,,Northbrook,0.00836169,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{9E1F4710-00F8-40D1-9C4F-2CD9B15C3D9E},Existing,44.1497235666955
56,,,,,Northbrook,0.00656496,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{E8C99234-928F-493C-9917-0518FB57F0B1},Existing,34.6629963535053
57,,,,,Northbrook,0.1973678,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{ABECEC6D-DD5A-4F90-953A-C1DC62E4CF62},Existing,1042.10198297363
58,,,,,Northbrook,0.21505721,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{754F332E-3FCB-4743-8B46-28EE593A80F1},Existing,1135.50206809723
59,,,,,Northbrook,0.22867056,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{E6993280-501C-4B25-8ECE-030E57458EF1},Existing,1207.38056319551
60,,,,,Northbrook,0.00651954,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{4F98CCA4-B087-4FDC-B5EE-CEB5D892F533},Existing,34.4231770831805
61,,,,,Northbrook,0.00235669,,,Sidepath,Asphalt,,,Northbrook,8-10 ft,PETERDIRKS,2022/04/18 15:40:56+00,PETERDIRKS,2022/04/18 15:40:56+00,{FE23F582-E0D5-4396-8EE1-2D7D231A8628},Existing,12.4433408854144
