SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM,CENSUS_TRACT
14454.0,BROADWAY,ARGYLE (north leg),NB,FS,36,,CHICAGO,Broadway & Argyle,17031031200
1206.0,SHERIDAN,NORTH SHORE,NB,FS,"147,155",0,CHICAGO,Sheridan & North Shore,17031010400
3118.0,KEDZIE,47TH STREET,NB,NS,"47,52",,CHICAGO,Kedzie & 47th Street,17031581100
15404.0,RACINE,ROOSEVELT,NB,FS,60,N60,CHICAGO,Racine & Roosevelt,17031283300
2317.0,STATE,47TH STREET,NB,NS,29,,CHICAGO,State & 47th Street,17031381400
11582.0,CENTRAL,FULTON,NB,NS,85,,CHICAGO,Central & Fulton,17031251900
14975.0,DAMEN,DIVISION,NB,FS,50,,CHICAGO,Damen & Division,17031241400
2498.0,COTTAGE GROVE,59TH STREET,NB,NS,"2,4,X4",N4,CHICAGO,Cottage Grove & 59th Street,17031411400
13193.0,LOOMIS,BLUE ISLAND,NB,NS,60,N60,CHICAGO,Loomis & Blue Island,17031310600
1583.0,MICHIGAN,8TH STREET,NB,NT,"1,3,4,X4",N4,CHICAGO,Michigan & 8th Street,17031320600
9703.0,NAGLE,BRYN MAWR,NB,NS,86,,CHICAGO,Nagle & Bryn Mawr,17031110300
6283.0,CLARK,18TH STREET,NB,NS,24,,CHICAGO,Clark & 18th Street,17031330200
9698.0,NAGLE,FOSTER,NB,NS,86,,CHICAGO,Nagle & Foster,17031110300
5047.0,RACINE,81ST STREET,NB,NS,44,,CHICAGO,Racine & 81st Street,17031710800
3159.0,KEDZIE,JACKSON,NB,NS,52,,CHICAGO,Kedzie & Jackson,17031271200
15399.0,DEARBORN,HUBBARD,NB,NS,"22,36",N22,CHICAGO,Dearborn & Hubbard,17031081600
11610.0,CENTRAL,WELLINGTON,NB,NS,85,,CHICAGO,Central & Wellington,17031190300
8563.0,CUMBERLAND,CATHERINE,NB,NS,81W,,CHICAGO,Cumberland & Catherine,17031100500
15218.0,CALIFORNIA,DIVERSEY,NB,FS,94,,CHICAGO,California & Diversey,17031210900
15091.0,WESTERN,16TH STREET,NB,FT,"18,49,X49",N49,CHICAGO,Western & 16th Street,17031284200
9714.0,LAWRENCE,COURTLAND,EB,FS,81W,,NORRIDGE,Lawrence & Courtland,17031810501
10167.0,69TH STREET,PEORIA,EB,NS,67,,CHICAGO,69th Street & Peoria,17031681100
3367.0,65TH STREET,CENTRAL,EB,NS,165,,BEDFORD PARK,65th Street & Central,
11150.0,KIMBALL,PALMER,SB,NS,82,,CHICAGO,Kimball & Palmer,17031221100
11475.0,RIDGE,WAYNE,NWB,NS,84,,CHICAGO,Ridge & Wayne,17031030500
4385.0,ARCHER,CICERO,SWB,FS,"62,62H",,CHICAGO,Archer & Cicero,17031560600
