census_tract,bike_lane_miles
17031063100,0.0
17031070500,0.0
17031071200,0.0
17031061000,0.0
17031061300,0.0
17031061500,0.0
17031062300,0.0
17031062600,0.0
17031062700,0.0
17031062800,0.0
17031062900,0.0
17031050400,0.36909562929792744
17031050500,0.0
17031050600,0.0005509709010989728
17031050700,0.0
17031050800,0.0
17031051000,0.00020970673227846146
17031051100,0.0
17031051200,0.0
17031051400,0.0
17031051500,0.23939097100970452
17031060100,0.0
17031060200,0.0
17031060400,0.0
17031060500,0.0006036957006373297
17031060600,0.0
17031060800,0.09442788725585763
17031040100,0.0
17031040200,0.5670500256463924
17031040300,0.13635859394607822
17031040700,0.0006521374403530424
17031040800,0.0
17031040900,0.0
17031050100,0.12554103908789116
17031050200,0.0
17031050300,0.014184380314803704
17031031000,0.0
17031031100,0.31271142211978403
17031031200,0.0
17031031400,0.17971355556645985
17031031700,0.5077647322852162
17031031800,0.0
17031031900,0.0
17031032100,0.0006184578001013211
17031020600,0.0
17031020700,0.0
17031030200,0.4916660052437833
17031030300,0.011899428860598618
17031030400,0.16707505883465476
17031030600,0.0
17031030700,0.0
17031030800,0.0
17031010500,0.0
17031010600,0.0
17031010700,0.0
17031010900,0.0
17031020300,0.0
17031020400,0.0
17031020200,0.0
17031000000,0.012167844971737313
17031010100,0.0
17031010200,0.0
17031750100,0.0
17031750200,0.0
17031750300,0.0
17031750600,0.0
17031760800,0.0
17031760900,0.0
17031770600,0.0
17031770800,0.0
17031770900,0.0
17031808100,0.0
17031810501,0.0
17031821500,0.0
17031823304,0.0
17031590700,0.0
17031600300,0.0
17031561300,0.0
17031320200,1.3629560410135388
17031292300,0.0
17031290100,0.0
17031282300,0.256390349026349
17031280300,0.0
17031270600,0.0
17031260400,0.2532758942428579
17031242400,0.2519546842623674
17031240800,0.0
17031230600,0.0
17031221600,0.0
17031190300,0.0
17031190100,0.0
17031160100,0.0
17031381900,0.0
17031350800,0.31612034949935996
17031370200,0.0
17031320300,0.08826640806405035
17031300200,0.0005504730819361474
17031301500,0.0
17031291000,0.0
17031283100,0.00028154654279226207
17031280700,0.0
17031282000,1.3920734823683636
17031271000,0.0
17031250700,0.0
17031242500,0.0
17031240100,0.0
17031222900,0.0
17031220700,0.0002864636959288256
17031222000,0.0
17031210900,0.43473355590864887
17031191000,0.0
17031180100,0.0
17031170400,0.0
17031160300,0.0
17031150100,0.0
17031110100,0.0
17031081100,0.1720734819642733
17031080100,0.0
17031061200,0.0
17031062400,0.0
17031051300,0.0
17031040500,0.0
17031031300,0.0
17031030100,0.0
17031020100,0.0
17031750400,0.0
17031811600,0.0
17031600400,0.0005510747546088583
17031420900,0.0
17031730500,0.0
17031691500,0.0
17031282400,0.2479110504645887
17031282600,0.0
17031282900,0.6782438573609397
17031612100,0.0
17031601500,0.0
17031500100,0.2982981784928631
17031460100,0.0
17031411300,0.2464388387870506
17031381700,0.0
17031320100,0.9526079440385506
17031301200,0.0
17031281000,0.0
17031261000,0.0005509598507338713
17031250900,0.0
17031241900,0.46934835214177234
17031222200,0.2886658928192619
17031180300,0.0
17031140600,0.0
17031062200,0.0
17031491000,0.0
17031150300,0.0
17031251200,0.0
17031600600,0.06384206165072767
17031460900,0.12550982062034508
17031380800,0.3754577559441845
17031284100,0.25538322376734884
17031260200,0.25452211435375277
17031221300,0.20370494869993971
17031720100,0.0
17031310500,0.0
17031241400,0.0008742236714374023
17031070100,0.0
17031380600,0.0
17031140500,0.0
17031120400,0.0
17031282200,0.2584510348134025
17031230200,0.0
17031081700,0.34660209181305995
17031671200,0.0
17031340300,0.0
17031170900,0.0
17031711000,0.0
17031690500,0.0
17031681300,0.0
17031660400,0.0
17031620100,0.0
17031611300,0.0
17031580900,0.0
17031580400,0.0
17031520600,0.0
17031491300,0.0
17031450300,0.0
17031410700,0.0
17031400500,0.0
17031381100,0.0
17031351200,0.0
17031290300,0.0
17031081400,0.0
17031081600,0.6375429873501643
17031081900,0.0
17031071600,0.0
17031071800,0.0
17031291400,0.45511222154091074
17031283000,0.0
17031271800,0.0
17031281300,0.12764497393601437
17031270100,0.21149727018318923
17031271600,0.18703661470053393
17031260600,0.0
17031251000,0.0
17031242600,0.00028297443094946125
17031240200,0.0
17031241800,0.4700035981353852
17031231400,0.0
17031221400,0.5827647053191665
17031210300,0.22115247732346285
17031220400,0.12896328832366358
17031200200,0.11388611269342062
17031160600,0.015501442142530766
17031150600,0.0
17031160400,0.0
17031140800,0.0
17031110200,0.0
17031081200,0.0
17031071700,0.0
17031063200,0.0
17031071300,0.0
17031062100,0.0
17031060300,0.0
17031060700,0.0
17031040400,0.0002851297320508311
17031041000,0.0
17031030900,0.0
17031031600,0.27698273077987634
17031032000,0.537323472082536
17031020800,0.0
17031030500,0.3148916663376863
17031010300,0.0
17031010800,0.25466942074121424
17031020500,0.5096894226848373
17031740300,0.0
17031750500,0.0
17031770700,0.0
17031810400,0.0
17031840000,0.0
17031710800,0.0
17031711500,0.0
17031110300,0.0
17031081300,0.0
17031070200,0.0
17031062000,0.0
17031700100,0.0
17031661100,0.0
17031671900,0.0
17031680200,0.0
17031680400,0.0
17031680700,0.0
17031681100,0.0
17031670200,0.0
17031670500,0.0
17031670700,0.0
17031671500,0.0
17031671700,0.0
17031660100,0.0
17031660300,0.0
17031661000,0.0
17031640100,0.0
17031640300,0.0
17031640500,0.0
17031650300,0.0
17031620200,0.0
17031620400,0.0
17031630900,0.0
17031630700,0.0
17031610400,0.0
17031610700,0.5053134077738812
17031610900,0.5024917024060073
17031611800,0.0
17031611400,0.0
17031600500,0.039937264336908786
17031600800,0.0
17031601300,0.0
17031720600,0.0
17031710700,0.0
17031700200,0.0
17031690100,0.0
17031672000,0.0
17031670400,0.025480289439087065
17031671400,0.0
17031660800,0.0
17031650200,0.0
17031630800,0.0
17031611700,0.5045628172263711
17031600900,0.0
17031580700,0.032645555381103177
17031561200,0.0
17031560300,0.0
17031550200,0.0
17031490700,0.0
17031470100,0.0
17031440900,0.0
17031440500,0.0
17031410900,0.0
17031420600,0.0
17031400700,0.0
17031380500,0.0
17031382000,0.0
17031350700,0.3763690426307686
17031330100,1.6041402461896603
17031340400,0.0
17031301900,0.0
17031292500,0.0
17031300900,0.0
17031610200,0.0
17031580500,0.5864242436487747
17031580800,0.0
17031590200,0.0
17031590400,0.0
17031570500,0.0
17031580300,0.022284773320390666
17031560100,0.0
17031560600,0.0
17031561100,0.0
17031530600,0.0
17031550100,0.0
17031520200,0.0
17031520500,0.0
17031500300,0.0005552205118196529
17031510300,0.0
17031510500,0.0
17031490600,0.0
17031490900,0.0
17031491100,0.0
17031491400,0.0
17031460700,0.0
17031461000,0.12664238292334218
17031480100,0.0
17031490100,0.0
17031480500,0.1145470746841665
17031430900,0.0
17031431200,0.0
17031431400,0.0
17031440400,0.0
17031420700,0.0
17031421000,0.0
17031421200,0.0
17031430500,0.0
17031430800,0.0
17031410800,0.06369227866384633
17031411100,0.000283017175471458
17031420500,0.0
17031390300,0.0
17031400100,0.5390991595354482
17031400600,0.0
17031410300,0.0
17031410600,0.0
17031380100,0.0
17031380400,0.0
17031380900,0.0
17031381200,0.0
17031381400,0.25136455478035086
17031390200,0.0
17031340600,0.2582967450256998
17031350300,0.0011048466364781237
17031350500,0.15420892519014104
17031351000,0.48713154111766666
17031351300,0.50277124535433
17031351500,0.0
17031360200,0.0
17031360500,0.0
17031330300,0.0
17031330500,0.0
17031311300,0.0
17031690600,0.0
17031510400,0.0
17031460600,0.0
17031440700,0.0
17031430200,0.0
17031420100,0.0
17031410200,0.0
17031381000,0.0
17031350200,0.0
17031360400,0.0
17031320400,0.012250608791101857
17031310800,0.0
17031300600,0.0
17031290800,0.0
17031282500,0.08177390176164108
17031283800,0.31276876350457294
17031281600,0.46485146196687105
17031270900,0.0
17031260100,0.25256954060862014
17031251500,0.0
17031243200,0.0
17031241200,0.0
17031230400,0.0
17031220900,0.0
17031200600,0.0
17031190600,0.0
17031171000,0.0
17031170100,0.0
17031130500,0.0
17031110400,0.0
17031080800,0.1136574156122264
17031072000,0.059157055106073754
17031070900,0.0
17031061600,0.0
17031050900,0.0
17031040600,0.0
17031031500,0.0
17031740400,0.0
17031820800,0.0
17031720400,0.0
17031720700,0.0
17031740200,0.0
17031730600,0.5226801666265982
17031710400,0.0
17031710600,0.0
17031710900,0.0
17031711100,0.0
17031691400,0.0
17031700300,0.0
17031710100,0.0
17031690200,0.0
17031690400,0.0
17031690700,0.131983921960752
17031690900,0.15597510374269272
17031680800,0.0005493587962757961
17031671100,0.0
17031660900,0.0
17031612200,0.5027029197381646
17031611000,0.0
17031601100,0.0
17031590300,0.032471657146765
17031580100,0.0
17031530500,0.0
17031320600,0.476170875305375
17031301700,0.0
17031302000,0.0
17031310200,0.0
17031311200,0.0
17031310900,0.05908095984918074
17031292200,0.251189317975054
17031292400,0.0
17031292700,0.0
17031300500,0.0
17031300700,0.0
17031301000,0.0
17031284200,0.0
17031290200,0.0
17031290400,0.06589832834379074
17031290700,0.0
17031291300,0.25213274557681453
17031291500,0.0
17031292000,0.0
17031282100,0.2419382057765212
17031283400,0.21462001041390272
17031283700,0.0
17031283900,0.28690967407548074
17031271900,0.0
17031280200,0.0
17031281200,0.12498370088251361
17031281500,0.2523865655154993
17031281700,0.3764649228050095
17031270200,0.5087771913245825
17031270500,1.0532212591273462
17031270700,0.0
17031271200,0.0
17031271500,0.0
17031271700,0.0
17031251900,0.410416743568929
17031252100,0.5276273042977406
17031260300,0.25450723580938944
17031260500,0.0
17031250200,0.1617987219295139
17031250400,0.0
17031251400,0.0
17031242000,0.5204680136854541
17031242700,0.0
17031243000,0.2524906407755057
17031243400,0.0
17031243300,0.0
17031250100,0.0
17031240300,0.0
17031240600,0.0
17031240900,0.5107199995349521
17031241100,0.0
17031241700,0.4165855656411836
17031222500,0.0
17031231600,0.2518068564120542
17031230300,0.0
17031230500,0.0
17031230800,0.0
17031231300,0.0
17031220500,0.5199615342748893
17031221000,0.0
17031221200,0.0
17031221500,0.0
17031221700,0.0
17031200500,0.0
17031210100,0.45463449493753433
17031210400,0.0
17031210600,0.4813094618880231
17031220300,0.1261529253775497
