census_tract,Tree_Canopy
17031071800,39.481364289773595
17031291400,28.915501465902555
17031283000,21.92432233464879
17031271800,26.34204265952842
17031281300,22.689901249086056
17031270100,19.815032124206954
17031271600,22.73990810451147
17031260600,22.30415256297179
17031251000,15.471218878720551
17031242600,27.785533679996533
17031240200,32.405306661585946
17031241800,13.904427573773502
17031231400,17.854677314921062
17031221400,21.823961123255227
17031210300,19.48250850927479
17031220400,29.299456483165734
17031200200,20.152875194828532
17031160600,29.497320735566944
17031150600,26.622932106526765
17031160400,31.3794562551371
17031140800,31.12998494692924
17031110200,18.039171197080012
17031081200,25.45395400955428
17031071700,41.228607858497874
17031063200,20.800182786772773
17031071300,39.94783593551932
17031062100,24.246512267932165
17031060300,33.61311378485589
17031060700,26.969809494149512
17031040400,30.261077727943977
17031041000,24.828787808430345
17031030900,28.94781059436447
17031031600,29.990026783477838
17031032000,30.017172715446566
17031020800,27.468948936537892
17031030500,34.0446945180022
17031010300,34.019560592742216
17031010800,29.608158687687357
17031020500,30.661194963132537
17031740300,22.73445415197152
17031750500,26.081666431224292
17031770700,13.912451348774031
17031810400,25.90924624420343
17031840000,2.0946808715819216
17031710800,19.72502081352495
17031711500,25.78076867196098
17031110300,19.938959219391847
17031081300,21.746146450543144
17031070200,29.453333593138662
17031062000,27.35713518570215
17031700100,15.386584370648857
17031661100,18.887304410295673
17031671900,18.527481907159622
17031680200,21.696461647878422
17031680400,30.851030112009497
17031680700,23.91226930153836
17031681100,26.15737722155876
17031670200,31.764779716152745
17031670500,22.800093148996112
17031670700,31.416096781363063
17031671500,27.821584144628012
17031671700,31.87511330681177
17031660100,15.453653783523443
17031660300,18.79755134763241
17031661000,20.44763611858681
17031640100,14.320317690366391
17031640300,13.913749514616777
17031640500,12.816275836453572
17031650300,17.75670783288275
17031620200,17.0590539795369
17031620400,15.59602652346962
17031630900,18.212847908268312
17031630700,19.850923525202862
17031610400,15.538922644724853
17031610700,16.296369782853013
17031610900,22.566283695945714
17031611800,25.488408361378667
17031611400,22.06893773052043
17031600500,14.237341591017488
17031600800,20.66837253643375
17031601300,20.892959384332496
17031720600,39.43744242495175
17031710700,18.18466933659465
17031700200,13.945429408350208
17031690100,15.746959198361125
17031672000,25.31506627638302
17031670400,30.448530372041784
17031671400,35.811317893582654
17031660800,22.568441230978568
17031650200,15.749991422822802
17031630800,16.475968685625134
17031611700,28.970954891407622
17031600900,19.781903860616147
17031580700,21.555451710957655
17031561200,2.6677254993382973
17031560300,18.499680021555676
17031550200,16.11900327214596
17031490700,25.074655784444175
17031470100,25.271576003777575
17031440900,27.59814678077905
17031440500,16.94450568462912
17031410900,28.194552731806066
17031420600,24.243355304571526
17031400700,20.982597446216754
17031380500,19.784678295179102
17031382000,21.27392282438792
17031350700,26.054277887822707
17031330100,15.18532825843608
17031340400,17.30421239586546
17031301900,16.736627613270997
17031292500,16.47200672906722
17031300900,18.24455787213895
17031610200,16.23228540090899
17031580500,18.935494356776328
17031580800,20.13165632522595
17031590200,20.49771118222077
17031590400,20.020260269942558
17031570500,14.63848792330047
17031580300,18.460301614192833
17031560100,16.971129511189016
17031560600,11.194464425478953
17031561100,16.231720080845147
17031530600,25.502159114146174
17031550100,21.083911480309375
17031520200,15.611702824319911
17031520500,20.98112999589328
17031500300,21.56130076727751
17031510300,26.26086681664152
17031510500,12.943508395290069
17031490600,15.305724137280826
17031490900,24.089338722690062
17031491100,25.856034894889685
17031491400,22.48169945579765
17031460700,26.802651185557277
17031461000,12.10980981878952
17031480100,22.507416765048998
17031490100,25.713496816733887
17031480500,24.380796277858643
17031430900,24.675363070428524
17031431200,28.12382022581595
17031431400,22.91346357417494
17031440400,16.97808738595891
17031420700,26.75255220650183
17031421000,22.624173244743194
17031421200,23.973527540255493
17031430500,22.454901409809683
17031430800,25.305408309713325
17031410800,27.511921734139985
17031411100,34.66435469843363
17031420500,20.90380077010213
17031390300,23.470241537970598
17031400100,23.21350693283991
17031400600,20.997330551587595
17031410300,29.855018870021595
17031410600,38.08775723047148
17031380100,22.390860905534456
17031380400,21.036657664135795
17031380900,19.494462826874003
17031381200,21.498819660105838
17031381400,16.342150241801118
17031390200,24.867258419978697
17031340600,12.440491467276255
17031350300,23.83737294296157
17031350500,27.48476081029145
17031351000,27.021489323419342
17031351300,21.49804250793454
17031351500,11.638894246640332
17031360200,18.18942096341453
17031360500,19.88331633601088
17031330300,16.31215763130015
17031330500,16.26466682369002
