GEO_ID,Census Tract Name,% population (25+) with <9 years of education,% population (25+) with at least a high school diploma,Unemployment rate (civilian labor force 16+),% families below the poverty level,median home value,median gross rent,Median Family Income,% population below 150% of the poverty threshold,median monthly mortgage,% single-parent households with children < 18,% owner-occupied housing units,% occupied housing units without complete plumbing,% households without a motor vehicle,% households without a telephone,% households with >1 person per room,% employed persons (16+) in white-collar occupations,log ratio low-to-high income
1400000US17031071100,Census Tract 711; Cook County; Illinois,0,1425,3.8,0.0,1556900,2817,204609,0.0,"4,000+",,41.5,0.0,39.2,0.0,1.7,70.9,-0.193
1400000US17031071200,Census Tract 712; Cook County; Illinois,59,2024,9.0,0.0,952300,2336,131383,2.9,"4,000+",,29.5,1.0,33.1,0.0,0.0,68.7,0.052
1400000US17031071300,Census Tract 713; Cook County; Illinois,24,3179,4.3,4.4,494100,2051,129486,7.2,3583,,58.8,0.0,27.1,1.2,1.2,75.9,-0.14
1400000US17031071400,Census Tract 714; Cook County; Illinois,22,3279,6.5,12.9,491700,1862,113581,15.3,3786,,47.6,0.8,36.1,0.0,0.2,73.5,-0.014
1400000US17031071500,Census Tract 715; Cook County; Illinois,0,4999,4.2,1.4,401600,2146,119024,1.4,2580,,33.7,0.0,36.3,1.4,3.0,82.0,-0.247
1400000US17031071600,Census Tract 716; Cook County; Illinois,7,1141,0.5,0.0,1140400,2742,204375,0.0,"4,000+",,65.3,0.0,11.0,0.0,0.0,73.9,-0.204
1400000US17031071700,Census Tract 717; Cook County; Illinois,12,1178,3.5,5.2,948100,2974,202500,5.2,"4,000+",,56.8,0.0,14.4,0.0,0.0,78.3,-0.05
1400000US17031071800,Census Tract 718; Cook County; Illinois,32,2072,3.5,1.6,903900,3131,241228,2.3,3438,,57.4,0.0,16.9,0.0,1.5,83.0,-0.259
1400000US17031080100,Census Tract 801; Cook County; Illinois,0,5629,5.8,4.9,575900,2175,105000,4.9,3904,,53.3,0.0,44.4,0.0,0.0,72.4,-0.083
1400000US17031080201,Census Tract 802.01; Cook County; Illinois,0,3033,3.6,0.0,256300,2064,120409,0.0,2340,,64.2,0.0,40.4,0.0,0.0,62.1,-0.054
