census_tract,Tree_Canopy,Affordable_Housing,Parks,Transit_Stop,Bike_Miles,Wifi_Hotspots,School_Density,Library_Count,Small_Business,Grocery_Store,Tract_Area_SqMi,Population
17031062800,30.3020752367283,59.2054,11.8667,10.387,0.0,23.8663,10.387,7.79,102.8304,18.4368,0.1257,3851
17031062900,33.4582039054939,56.0,20.4833,4.848,4.3889,23.8474,7.273,7.273,53.3333,6.7879,0.1258,4125
17031063000,23.373618735879774,77.5534,11.2391,32.192,10.933,7.9872,11.706,8.78,121.1589,27.5095,0.1252,3417
17031063100,24.78090699514624,105.6397,13.9885,42.088,16.6094,16.1812,16.835,8.418,146.0438,37.4579,0.0618,2376
17031063200,20.69486404736824,28.9855,779.5454,20.29,11.0245,5.7537,2.899,1.449,42.4638,5.2174,0.1738,6900
17031063301,25.27175920309768,68.1257,488.8416,10.589,18.6772,27.4725,7.06,7.06,74.1264,22.2379,0.0364,2833
17031063302,24.45602435326945,41.7304,2049.5351,17.479,28.1972,21.1416,4.37,2.185,31.0247,4.1512,0.0473,4577
17031063303,26.72308538281159,138.9325,1639.4832,15.699,18.758,10.8696,15.699,7.849,21.978,4.7096,0.092,1274
17031063400,21.53603114946827,105.089,8.8596,33.099,17.3984,16.2602,12.412,8.275,197.7658,42.2011,0.0615,2417
17031070101,24.27316595200796,58.2594,873.1391,23.975,9.764,0.0,4.795,4.795,59.9377,15.8235,0.2716,4171
17031070102,21.812611972067856,79.9869,1452.0283,13.059,21.8007,0.0,6.53,6.53,106.4316,19.2622,0.0474,3063
17031070103,31.35071989796508,130.6233,1139.7526,10.84,16.0053,0.0,10.84,10.84,86.7209,18.9702,0.0269,1845
17031070200,29.44822273924925,58.3333,135.436,21.429,9.7718,7.57,11.905,4.762,88.8095,21.4286,0.1321,4200
17031070300,30.251940161296066,56.7947,35.0764,18.395,12.1786,7.9808,9.198,4.599,149.4596,25.0632,0.1253,4349
17031070400,33.3533664281138,22.4615,57.6768,12.308,3.9873,15.9744,12.308,9.231,74.1538,8.9231,0.1252,3250
17031070500,30.371625466342127,0.301,95.8477,9.031,4.1882,16.9492,12.041,9.031,36.1228,2.1072,0.118,3322
17031070600,30.386748052239867,15.3668,58.5601,14.497,5.6959,15.0943,11.598,5.799,61.1772,7.8284,0.1325,3449
17031070700,19.368339409998907,49.7432,25.1024,32.441,14.7469,3.686,13.517,8.11,79.2106,11.6248,0.2713,3699
17031071000,35.279677614897125,15.8366,51.3618,4.59,9.4147,15.9617,11.476,2.295,56.0018,4.1313,0.1253,4357
17031071100,39.218624561826765,22.3229,163.1862,29.117,8.8958,15.9109,16.176,3.235,186.0239,26.8522,0.1257,3091
