GEO_ID,Census Tract Name,% population (25+) with <9 years of education,% population (25+) with at least a high school diploma,Unemployment rate (civilian labor force 16+),% families below the poverty level,median home value,median gross rent,Median Family Income,% population below 150% of the poverty threshold,median monthly mortgage,% single-parent households with children < 18,% owner-occupied housing units,% occupied housing units without complete plumbing,% households without a motor vehicle,% households without a telephone,% households with >1 person per room,% employed persons (16+) in white-collar occupations,log ratio low-to-high income,Area Deprivation Index (ADI),census_tract,Tree_Canopy,Affordable_Housing,Parks,Transit_Stop,Bike_Miles,Wifi_Hotspots,School_Density,Library_Count,Small_Business,Food_Access,Tract_Area_SqMi,Population
1400000US17031020902,Census Tract 209.02; Cook County; Illinois,224,2751,5.7,15.8,122600.0,1323.0,45547.0,26.7,1451.0,,48.4,2.0,25.5,0.0,8.5,47.9,-0.042,117.77129569121942,17031020902,27.302370645642423,24.5098,63.1952,11.141,4.3729,5.1706,8.913,8.913,35.205,5.7932,0.1934,4488
1400000US17031030101,Census Tract 301.01; Cook County; Illinois,38,2951,17.3,10.1,274800.0,1267.0,48929.0,24.5,2606.0,,26.3,1.1,53.8,0.0,8.0,62.7,-0.077,113.68812628512336,17031030101,20.64583696166381,272.8506,434.2326,8.137,1.3947,41.6667,8.137,2.712,53.9734,9.764,0.048,3687
1400000US17031030102,Census Tract 301.02; Cook County; Illinois,30,2456,5.7,3.7,232800.0,1199.0,59826.0,3.7,2305.0,,39.0,0.0,44.9,0.6,0.0,62.0,0.123,99.84291399343128,17031030102,17.99986572630535,288.6895,253.5659,9.612,0.0,47.9616,9.612,3.204,64.082,14.7389,0.0417,3121
1400000US17031030103,Census Tract 301.03; Cook County; Illinois,28,1206,11.3,16.7,197500.0,1268.0,49545.0,23.7,1943.0,,28.5,0.0,47.7,6.4,7.4,55.8,0.0,121.72346344422463,17031030103,21.32285911379625,289.924,121.0047,19.011,0.0,58.309,9.506,9.506,52.7567,9.5057,0.0343,2104
1400000US17031030104,Census Tract 301.04; Cook County; Illinois,0,1237,15.9,13.4,162300.0,1505.0,41823.0,13.4,1883.0,,33.7,0.0,51.5,4.5,1.3,60.5,-0.106,115.46453960914296,17031030104,14.295946177875871,172.3942,118.9244,11.36,0.0,57.3066,5.68,5.68,20.1647,3.9761,0.0349,3521
1400000US17031030200,Census Tract 302; Cook County; Illinois,193,4219,5.0,5.2,527300.0,1588.0,108466.0,5.2,2858.0,,52.0,0.0,17.4,0.0,1.6,55.7,-0.032,83.25605930707654,17031030200,36.2939207197567,197.4409,44.9115,24.88,3.0508,11.7509,8.886,3.554,96.6767,16.3497,0.2553,5627
1400000US17031030300,Census Tract 303; Cook County; Illinois,75,2221,4.6,8.8,379700.0,1124.0,68933.0,12.1,3019.0,,33.5,4.2,44.1,1.5,2.8,57.2,-0.042,102.44546840447724,17031030300,34.64294906809196,34.3075,90.916,19.06,6.438,16.5563,12.706,9.53,62.2618,7.6239,0.1208,3148
1400000US17031030400,Census Tract 304; Cook County; Illinois,26,2173,5.0,8.1,437300.0,1467.0,98909.0,8.1,2516.0,,42.5,0.0,27.8,0.0,5.5,64.8,-0.173,92.34731245483316,17031030400,27.92870106695501,41.5864,53.0209,38.506,5.4426,14.8699,15.402,7.701,92.4143,11.1667,0.1345,2597
1400000US17031030500,Census Tract 305; Cook County; Illinois,103,5102,3.7,5.0,341000.0,1778.0,127055.0,8.8,2297.0,,55.1,0.4,20.3,0.4,1.4,67.6,0.103,83.07171719322993,17031030500,34.06211539527264,99.9515,44.9031,27.495,3.042,12.4688,8.087,3.235,66.7961,10.351,0.2406,6183
1400000US17031030601,Census Tract 306.01; Cook County; Illinois,145,2700,7.6,17.4,322600.0,1228.0,52917.0,27.1,2191.0,,26.9,0.0,41.8,0.0,9.7,41.0,0.027,116.7974260648426,17031030601,19.28825155873536,154.874,594.634,12.147,9.2828,34.7222,9.11,3.037,23.9903,1.822,0.0576,3293
1400000US17031030603,Census Tract 306.03; Cook County; Illinois,38,1534,6.2,18.6,326300.0,1185.0,49674.0,18.6,2436.0,,9.3,1.9,57.1,1.2,7.3,62.6,-0.229,114.70879032357578,17031030603,19.53461608469253,196.577,873.4634,14.67,26.1121,44.6429,14.67,9.78,73.8386,15.6479,0.0448,2045
1400000US17031030604,Census Tract 306.04; Cook County; Illinois,13,2454,3.5,15.6,236400.0,1416.0,51688.0,15.6,1936.0,,25.2,0.8,56.4,1.5,5.2,52.7,-0.076,111.77655568614476,17031030604,22.5504203591107,107.5729,1162.0997,10.704,26.9503,36.2976,5.352,5.352,33.4493,1.0704,0.0551,3737
1400000US17031030701,Census Tract 307.01; Cook County; Illinois,48,1219,12.6,17.0,271800.0,1105.0,44948.0,17.0,2131.0,,20.4,0.0,57.4,0.0,1.7,66.3,-0.213,114.3321654835362,17031030701,22.07422242428797,245.9605,1446.1101,5.984,61.9193,37.037,17.953,11.969,77.7977,17.9533,0.027,1671
1400000US17031030703,Census Tract 307.03; Cook County; Illinois,61,2605,11.8,16.4,342700.0,1387.0,74702.0,16.4,2166.0,,29.8,0.0,48.3,0.4,2.4,63.4,0.061,106.76298425774476,17031030703,24.43543406090179,271.8699,497.8764,29.268,26.9149,53.6913,9.756,6.504,53.3333,7.4797,0.0745,3075
1400000US17031030706,Census Tract 307.06; Cook County; Illinois,140,2303,9.4,0.0,355400.0,1799.0,52167.0,0.0,2671.0,,34.0,0.0,57.3,0.0,2.2,74.0,-0.407,93.1368736305272,17031030706,26.43523634467742,285.0324,884.2228,30.685,30.6517,29.0065,13.638,6.819,48.4146,4.4323,0.1379,2933
1400000US17031030800,Census Tract 308; Cook County; Illinois,82,3452,6.1,7.7,512500.0,1657.0,105585.0,7.7,2932.0,,49.1,0.0,20.1,0.0,2.4,73.7,-0.082,83.10712471414811,17031030800,36.82285769039829,203.5481,12.0172,21.008,2.2541,22.8102,14.006,4.669,125.817,23.1092,0.2192,4284
1400000US17031030900,Census Tract 309; Cook County; Illinois,39,2252,2.6,0.0,444300.0,1548.0,87485.0,8.5,3014.0,,39.0,0.6,14.0,0.0,0.7,56.3,-0.229,85.81989336564682,17031030900,28.936197757951305,30.4878,9.0028,60.976,1.6007,0.0,16.938,6.775,209.0108,20.3252,0.1577,2952
1400000US17031031000,Census Tract 310; Cook County; Illinois,120,3325,4.8,1.4,350200.0,1726.0,132147.0,5.9,2400.0,,40.6,0.0,22.9,0.5,0.0,55.9,0.169,86.24050773857073,17031031000,28.161231412151764,87.9007,31.011,23.268,3.4212,36.4964,15.512,5.171,99.2761,12.9266,0.1644,3868
1400000US17031031100,Census Tract 311; Cook County; Illinois,26,4353,2.4,0.0,367900.0,1444.0,92717.0,4.7,2675.0,,20.5,0.0,42.1,1.9,0.0,57.6,-0.092,89.48429683373544,17031031100,28.14322361327196,227.67,28.824,25.581,6.2124,56.5238,14.922,6.395,77.8086,10.0192,0.2123,4691
1400000US17031031200,Census Tract 312; Cook County; Illinois,315,3833,4.7,12.9,338800.0,1033.0,25713.0,51.7,2581.0,,18.4,0.0,61.1,0.0,1.6,59.3,-0.118,117.00537732444523,17031031200,19.095437602863864,209.529,175.4607,19.852,15.6701,95.1626,7.219,3.609,116.044,27.2514,0.1261,5541
1400000US17031031300,Census Tract 313; Cook County; Illinois,170,5465,4.2,19.6,172500.0,1247.0,68942.0,34.4,2131.0,,37.6,0.3,38.6,0.0,0.1,59.3,0.175,107.70138103165137,17031031300,29.5846656460223,161.1847,759.7717,31.255,24.6959,50.8788,5.953,2.977,21.5806,0.4465,0.2162,6719
1400000US17031031400,Census Tract 314; Cook County; Illinois,62,4170,1.5,0.0,296300.0,1747.0,93026.0,0.0,2066.0,,45.2,1.8,42.1,0.0,0.4,74.1,-0.075,86.09598941593109,17031031400,21.413186894125182,200.3448,714.0522,63.206,7.9387,20.4743,13.407,3.831,54.5872,3.8307,0.5861,5221
1400000US17031031501,Census Tract 315.01; Cook County; Illinois,234,2554,5.0,42.7,382100.0,1087.0,52250.0,58.3,2232.0,,18.3,0.0,32.2,2.0,4.3,46.7,-0.027,127.6266311679889,17031031501,22.76964815244199,282.0698,1288.905,9.627,46.1725,210.6969,12.034,4.813,32.7316,3.1288,0.0617,4155
1400000US17031031502,Census Tract 315.02; Cook County; Illinois,272,2818,4.5,23.8,287900.0,1331.0,49684.0,28.9,2705.0,,7.2,0.0,60.3,1.7,2.3,58.5,-0.007,114.86799412178382,17031031502,22.961260749785225,210.5263,896.1063,21.222,29.4746,160.5136,12.733,4.244,43.5059,7.0034,0.0623,4712
1400000US17031031700,Census Tract 317; Cook County; Illinois,51,4704,4.5,0.0,463300.0,1218.0,79867.0,1.3,2932.0,,38.3,0.0,35.4,0.7,1.7,58.8,-0.092,87.08958125692862,17031031700,31.108362337306456,231.3314,41.722,19.066,9.8903,81.4775,12.711,4.766,72.6088,9.5329,0.1841,6294
1400000US17031031800,Census Tract 318; Cook County; Illinois,24,1325,8.6,3.2,412800.0,1469.0,82313.0,16.9,2567.0,,43.0,0.0,22.7,0.0,6.4,62.9,0.029,97.66940514992096,17031031800,24.616021003994728,209.9476,56.1921,31.414,8.3021,99.1189,20.942,15.707,103.6649,10.9948,0.0908,1910
1400000US17031031900,Census Tract 319; Cook County; Illinois,106,1819,2.8,2.0,465900.0,1560.0,94107.0,4.3,2974.0,,35.5,0.6,38.0,0.0,0.0,68.0,-0.022,87.05605750716185,17031031900,29.85130647061875,153.4496,53.4452,23.791,7.6007,80.402,19.826,11.895,109.437,5.9477,0.0995,2522
1400000US17031032100,Census Tract 321; Cook County; Illinois,312,5728,7.1,5.5,287700.0,1261.0,72515.0,12.3,2563.0,,22.7,1.1,48.6,3.4,8.0,61.4,0.094,103.93642120342548,17031032100,25.368931391785377,136.1527,274.2973,29.166,7.9835,60.6428,9.28,2.651,48.787,3.9772,0.1649,7543
1400000US17031040100,Census Tract 401; Cook County; Illinois,83,2805,4.0,1.2,619200.0,1464.0,90952.0,12.2,3198.0,,47.8,1.3,18.1,0.5,0.0,61.7,0.019,83.99488081543014,17031040100,34.1409373015528,38.1562,60.0244,46.095,2.1597,2.589,23.047,10.243,59.9232,1.7926,0.7725,3905
1400000US17031040201,Census Tract 402.01; Cook County; Illinois,108,5185,5.2,6.3,464100.0,1440.0,104484.0,6.3,3203.0,,47.7,0.0,13.7,0.0,0.9,63.8,0.051,81.52335864938428,17031040201,24.764715132956912,14.5131,116.2316,39.014,5.6188,10.7836,6.242,4.682,75.2185,12.7965,0.2782,6408
1400000US17031040202,Census Tract 402.02; Cook County; Illinois,470,4379,6.9,17.6,283500.0,1477.0,67832.0,31.9,2189.0,,39.5,0.7,31.4,3.8,8.1,60.7,-0.092,111.43542213492871,17031040202,24.55984812622462,0.6832,66.0039,24.597,1.6629,8.7912,6.832,4.099,45.9142,7.3791,0.2275,7318
1400000US17031040300,Census Tract 403; Cook County; Illinois,71,2012,9.3,5.5,501300.0,1603.0,78879.0,20.9,2587.0,,64.9,0.0,6.0,0.0,1.7,62.4,-0.21,90.84409416786568,17031040300,36.976377893724425,46.4481,265.6623,30.738,7.5794,13.5501,34.153,10.246,29.3716,2.7322,0.2952,2928
1400000US17031040401,Census Tract 404.01; Cook County; Illinois,97,2368,4.7,6.3,445900.0,1913.0,108899.0,6.3,2654.0,,54.9,0.0,23.0,0.0,1.5,56.3,-0.07,85.70986012711685,17031040401,30.9804751449844,12.7836,153.9479,22.371,10.1467,20.4221,15.98,6.392,73.5059,15.3404,0.1469,3129
1400000US17031040402,Census Tract 404.02; Cook County; Illinois,34,3577,4.3,27.5,335800.0,1729.0,99201.0,32.0,2407.0,,24.6,0.0,16.4,0.0,0.5,51.9,-0.075,101.476046004784,17031040402,29.82426924297436,10.7459,96.3979,31.606,3.9353,17.0503,6.321,6.321,80.2781,15.1707,0.2346,4746
1400000US17031040600,Census Tract 406; Cook County; Illinois,51,1948,2.0,7.3,750000.0,1747.0,89091.0,7.3,3609.0,,46.4,0.0,25.2,1.7,2.0,54.9,-0.239,81.55444881629847,17031040600,30.683607736667472,20.1581,126.1511,43.478,1.2263,31.2989,15.81,7.905,250.9881,37.5494,0.1278,2530
1400000US17031040700,Census Tract 407; Cook County; Illinois,49,2516,6.8,5.6,391400.0,1763.0,105365.0,6.7,2750.0,,40.1,0.0,26.6,0.0,2.0,61.8,-0.232,87.96233550411287,17031040700,30.92717822985789,45.5342,191.7143,23.351,9.9885,21.7707,11.675,5.838,132.2242,37.0695,0.1378,3426
1400000US17031040800,Census Tract 408; Cook County; Illinois,4,1353,3.2,0.0,514400.0,1559.0,114397.0,1.3,2900.0,,41.7,0.0,14.3,0.0,0.0,61.0,-0.191,81.25247851350778,17031040800,31.69913625569279,59.9022,493.0539,24.45,14.7173,33.86,18.337,6.112,69.6822,5.5012,0.0886,1636
1400000US17031040900,Census Tract 409; Cook County; Illinois,1,1750,6.7,2.6,648000.0,1342.0,86359.0,5.5,2829.0,,37.1,0.0,33.5,0.0,0.0,58.7,-0.099,88.58651779256192,17031040900,33.613956697958,46.5342,127.4484,48.473,0.0,40.2253,19.389,4.847,198.255,17.4503,0.1243,2063
1400000US17031050100,Census Tract 501; Cook County; Illinois,23,1703,5.4,3.8,627500.0,1730.0,116438.0,12.4,3061.0,,44.7,0.0,25.1,0.0,0.0,69.2,0.09,82.31755487250572,17031050100,27.71980781683361,32.3209,2.5695,38.941,0.9767,30.9837,19.47,11.682,120.7165,15.9657,0.1291,2568
1400000US17031050200,Census Tract 502; Cook County; Illinois,155,3703,3.4,3.7,731500.0,1706.0,133708.0,3.7,,,61.9,0.7,16.8,0.9,0.0,57.5,-0.272,77.84078869780879,17031050200,29.71429754340905,14.5037,97.4447,26.37,0.5006,15.8793,9.418,1.884,106.7998,15.8222,0.2519,5309
1400000US17031050300,Census Tract 503; Cook County; Illinois,56,2138,1.1,1.7,631700.0,1645.0,151630.0,1.7,3228.0,,58.9,0.0,6.1,2.6,0.0,65.0,-0.11,72.41742479505551,17031050300,24.95930860538548,55.0356,603.7663,22.463,15.0635,19.1693,14.976,3.744,79.7454,8.611,0.1565,2671
1400000US17031050500,Census Tract 505; Cook County; Illinois,19,3364,3.5,0.0,968200.0,1852.0,141563.0,0.0,,,56.9,0.0,7.3,1.0,0.0,67.1,-0.101,69.0597554772687,17031050500,31.79560083209802,13.4845,37.7834,29.314,0.5004,3.9683,11.726,3.909,124.0962,4.8857,0.252,5117
1400000US17031050600,Census Tract 506; Cook County; Illinois,8,1944,5.6,0.0,450500.0,1980.0,137083.0,4.9,2890.0,,50.6,1.9,13.1,0.0,0.0,68.7,-0.366,77.32246891426371,17031050600,30.208332794755847,35.2026,5.5676,28.653,0.9828,15.5885,28.653,8.187,166.5984,22.5133,0.1283,2443
1400000US17031050700,Census Tract 507; Cook County; Illinois,0,1136,4.7,6.3,702700.0,1925.0,135653.0,6.3,3415.0,,49.5,0.0,10.0,0.0,0.7,67.5,-0.176,74.62182003944787,17031050700,35.875775155756685,114.3424,18.0465,26.438,3.9292,15.6986,33.047,6.609,54.197,3.3047,0.0637,1513
1400000US17031050800,Census Tract 508; Cook County; Illinois,4,806,4.9,0.7,987100.0,2370.0,190469.0,5.1,,,57.2,0.0,8.1,0.0,0.0,65.8,0.014,67.01158512265087,17031050800,30.510827017836554,1.4225,12.8645,28.45,7.9513,15.8983,42.674,7.112,269.559,14.936,0.0629,1406
1400000US17031050900,Census Tract 509; Cook County; Illinois,0,1060,0.6,6.1,856300.0,1750.0,132258.0,6.1,,,35.0,0.0,23.7,0.0,0.0,62.0,-0.166,80.38194454890028,17031050900,29.175818441659825,0.0,0.0,21.038,13.2458,0.0,35.063,7.013,71.5288,18.2328,0.0628,1426
1400000US17031051000,Census Tract 510; Cook County; Illinois,0,1191,1.5,4.1,771600.0,1866.0,186458.0,4.1,,,68.6,1.7,6.8,0.0,0.0,74.0,-0.064,70.66823120118005,17031051000,26.796951977316404,0.0,63.2737,19.506,25.6967,0.0,39.012,6.502,100.13,3.9012,0.0642,1538
1400000US17031051100,Census Tract 511; Cook County; Illinois,25,1217,3.8,9.8,740200.0,1610.0,161900.0,12.0,3629.0,,54.6,0.0,3.1,0.0,2.6,69.2,-0.039,74.72144034375023,17031051100,31.95240923922277,59.4121,156.7961,31.27,17.1644,15.9236,50.031,6.254,195.122,16.2602,0.0628,1599
1400000US17031051200,Census Tract 512; Cook County; Illinois,22,1120,5.9,2.4,718800.0,2050.0,176571.0,2.4,,,45.9,0.0,16.9,0.0,0.5,77.5,-0.179,73.50946747678046,17031051200,33.13699321303076,163.1879,155.6097,25.3,7.224,31.4961,31.626,6.325,50.6009,0.0,0.0635,1581
1400000US17031051300,Census Tract 513; Cook County; Illinois,117,1735,9.1,0.7,750600.0,1932.0,147386.0,3.9,,,77.2,0.0,7.8,0.0,0.0,66.8,-0.2,74.83681946443957,17031051300,32.77164083977842,120.399,97.1866,30.96,12.9711,16.0643,20.64,6.88,44.0316,3.096,0.1245,2907
1400000US17031051400,Census Tract 514; Cook County; Illinois,14,1601,0.9,4.9,630900.0,2118.0,167194.0,4.9,3402.0,,59.5,0.0,11.2,0.0,0.9,72.4,-0.043,68.36239187580304,17031051400,31.08760554658094,75.0401,69.7929,28.09,18.9525,7.0175,20.064,4.013,60.5939,2.809,0.1425,2492
1400000US17031060100,Census Tract 601; Cook County; Illinois,28,2113,2.2,0.0,667000.0,1728.0,157917.0,0.0,3445.0,,63.4,0.0,19.2,0.4,0.6,71.6,-0.034,68.90247685919093,17031060100,35.6729337782034,200.0,2.9464,24.735,6.244,47.3934,17.668,14.134,44.1696,7.7739,0.1266,2830
1400000US17031060200,Census Tract 602; Cook County; Illinois,27,1793,5.4,3.3,674300.0,1519.0,85417.0,5.7,2944.0,,37.3,0.0,21.8,0.0,4.0,68.1,-0.095,85.80344529379069,17031060200,31.18954578962413,44.9633,3.9803,8.647,4.0302,24.4101,21.617,17.294,188.4998,12.9702,0.1229,2313
1400000US17031060300,Census Tract 603; Cook County; Illinois,5,2267,2.7,0.0,782900.0,1860.0,173125.0,1.7,,,45.1,0.0,27.6,0.0,0.3,66.0,0.013,73.63998294749352,17031060300,33.61802640625925,39.6619,9.1616,19.506,0.0,8.0972,16.255,9.753,98.1795,6.827,0.1235,3076
1400000US17031060400,Census Tract 604; Cook County; Illinois,20,2469,2.1,0.0,649300.0,1991.0,153625.0,0.0,3515.0,,46.1,0.0,23.1,0.0,0.7,65.1,-0.199,69.19440769273277,17031060400,33.24757603398266,99.4877,11.79,18.873,2.184,7.9681,13.481,5.392,110.8115,17.7946,0.1255,3709
1400000US17031060500,Census Tract 605; Cook County; Illinois,38,911,4.3,2.3,912500.0,,52143.0,6.0,,,27.9,0.8,48.6,0.8,0.9,74.1,0.064,92.3237508802252,17031060500,36.62572558208333,248.9083,42.5732,43.668,3.1058,34.0522,29.112,21.834,69.1412,10.917,0.0881,1374
1400000US17031060800,Census Tract 608; Cook County; Illinois,57,4480,2.9,3.3,219100.0,1979.0,90174.0,5.6,2211.0,,45.6,0.0,36.4,1.2,1.8,59.7,-0.18,89.11544924478046,17031060800,21.613695096609653,65.5335,1213.8999,20.774,15.0726,42.6136,7.554,3.777,31.9169,3.7771,0.0704,5295
